PGM_ID,APPROVAL_PROCESS_NAME,PGM_NAME,MATERIAL_GROUP,TECH_CENTER_LOC,NEED_BY_DATE,CREATED_DATE,ASSIGNED_TO,CREATOR,ASSIGNEE,REQUESTER,CURRENT_STATUS,PROGRAM_STAGE,MATERIAL_CODE,REVISION_NO,CLASS,SUB_CLASS,SUPPLIER_NAME,SUPPLIER_PLANT,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_COUNTRY,SUPPLIER_PLANT_LOCATION,SUPPLIER_TRADENAME,AGENT_NAME,AGENT_PLANT,AGENT_CITY,AGENT_STATE,AGENT_COUNTRY,AGENT_PLANT_LOCATION,COMMODITY_GROUP,MATERIAL_CATEGORY,REGION_FOR_TRIAL,PLANT_FOR_TRIAL,PLANT_SLOT,EXP_CODE,SPECIFIC_GRAVITY,RHC_POLYMER,RHC_OIL,RHC_FILTER,RMI_DESC,MANET_CLASS,MANET_SUBCLASS,MATERIAL_TYPE,MATERIAL_SUBTYPE,COMPONENT_TYPE,STAINING,COMPATIBLE,MATERIAL_FORM,PGM_REASON,AGENT_BUILD_BREAK,REINGMI_DESC,MAT_CLASS,MAT_SUBCLASS,MAT_DOUBLE_SUBCLASS,APPROVAL_REGIONS,RESTRICTED_PLANTS
6823,NEW SOURCE,NS_006823,REINFORCEMENT,GTC*A,,2009-04-23 13:10:09,34,Julie Graybill,Doug Till,,Cancelled,TIRE BUILD - Authorization Sent,K31T,0.0,YARN,POLYESTER - HMLS,HYOSUNG CORPORATION,"Jiaxing, China",Jiaxing,Others,China,"Jiaxing, China",HSP-40,,,,,,,Fabric,Fabric,NA,Gadsden,,RFY00022,,,,,,,,,,,,,,second source of 2200 dtex yarn,,2200 dTex non-AA HMLS Polyester from Hyosung China,YARN,POLYESTER - HMLS,,NA,
6824,NEW SOURCE,NS_006824,REINFORCEMENT,GTC*A,,2009-04-23 13:10:40,34,Doug Till,Doug Till,,Cancelled,PROGRAM INITIATION -  ,K31T,0.0,YARN,POLYESTER - HMLS,,,,,,,,,,,,,,Fabric,Fabric,,,,RF0040407,,,,,,,,,,,,,,,,,,,,,
7128,NEW MATERIAL,NM_007128,REINFORCEMENT,GTC*A,,2009-05-08 10:15:00,34,Doug Till,Doug Till,Doug Till,Cancelled,PLANT TRIAL - Authorization Sent,,,,,HYOSUNG CORPORATION,"Decatur, AL, USA",Decatur,AL,USA,"Decatur, AL, USA",AT01YF,,,,,,,,,NA,Fayetteville,,RFAS0001,,,,,,,,,,,,,,SED AT with Teijin Yarn,,"Aramid 1100/1/2 16x16 epi, SED YF",Single End Dipped Cord,ARAMID,,NA,
7901,NEW SOURCE,NS_007901,REINFORCEMENT,GTC*L,,2009-06-23 13:02:20,1121,Amin Abdul-Rahaman,Anthony Hardy,,Completed,PAPER WORK - Completed,091JH,0.0,WIRE,BEAD WIRE,Bekaert Brazil ¿ BBA,Brazil,,Others,Brazil,Brazil,091JH,,,,,,,Steel,Wire,LA,Americana,2010-05-31,RFGL2083,,,,,,,,,,,,,,Flexibility,,0.89 mm H,WIRE,BEAD WIRE,,LA,Americana
8806,NEW MATERIAL,NM_008806,RAW MATERIAL,GTC*A,,2009-08-03 14:56:00,671,Jennifer Labbe,Paul Sandstrom,Paul Sandstrom,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,Akron,Akron,OH,USA,"Akron, OH, USA",APR-6457C,,,,,,,,,NA,Chem Houston,,RFX0006704,0.95,100,0,0,"APR-6457\"C\"
1502/1712 blended at 14/86
ML=83.5",,,POLY,POLY,SBR,N,Y,S,Compound Evaluation,,,,,,NA,
8821,NEW MATERIAL,NM_008821,RAW MATERIAL,GTC*A,,2009-08-04 15:45:54,2240,Cesar Daza,Cesar Daza,Cesar Daza,Cancelled,PROGRAM INITIATION - Completed ,,,,,Elkem Silicones,Rock Hill,Rock Hill,SC,USA,"Rock Hill, SC, USA",BR1310 RTU,,,,,,,,,NA,Medicine Hat,,N0040573,,,,,,,,,,,,,,Medicine Hat Request,,,,,,NA,
8864,SOURCE CHANGE,SC_008864,RAW MATERIAL,DDC*H,,2009-08-06 05:02:19,651,Jonathan Jonathan,Willi Reinig,,Cancelled,PPO RAW MATERIAL - Completed,NIMBO,4.0,Natural Rubber,TSR-Technically Specified,KIRANA MUSI PERSADA,SFN,PALEMBANG,Others,Indonesia,"SFN, PALEMBANG, Indonesia",TSR 10,GOCPL,SINGAPORE,Singapore,Others,Singapore,"Singapore, Singapore",Natural Rubber,Natural Rubber,EMEA,Wittlich,,N0040577,,,,,,,,,,,,,,SC for central warehouse approval,,,,,,EMEA,Wittlich
8869,NEW SOURCE,NS_008869,RAW MATERIAL,GTC*A,,2009-08-06 05:49:10,160,John Yu,Michael E Putinski,,Completed,PAPER WORK - Completed,PROCITE,0.0,ChemOps,"Monomers, Coagents",Shandong Yuhuang Chemical,Shandong,Shandong,Others,China,"Shandong, China",Isoprene monomer,,,,,,,Synthetic Rubber,Other Polymer,NA,Chem Beaumont,,RFX0006745,0.681,0,0,0,CRUDE ISOPRENE,,,,,,,,L,Cost saving,,,,,,NA,Chem Beaumont
8881,NEW MATERIAL,NM_008881,REINFORCEMENT,GTC*A,2009-09-07,2009-08-06 08:38:29,160,Michael E Putinski,Michael E Putinski,Michael E Putinski,Cancelled,TIRE TEST - Testing Complete race tire testing,,,,,POLYAMIDE HP (AKZO NOBEL),"OBERNBURG, GERMANY",OBERNBURG,Others,Germany,"OBERNBURG, Germany",460HRT,,,,,,,,,NA,ICM*A,,RFY00023,,,,,,,,,,,,,,"evaluate nylon 4,6 in race tire ply ipo NF30MR",,"940dtex nylon 4,6",YARN,NYLON 6,,NA,
8921,NEW SOURCE,NS_008921,RAW MATERIAL,GTC*A,,2009-08-06 16:36:14,3180,Roberto Rodrigues,Renee Weber,,Completed,PAPER WORK - Completed  Signed in SIS,BRESHINE,4.0,"Oils, Plasticizers",Paraffinics,KELPEN OIL BRASIL,Aruja - SP,Aruja - SP,Others,Brazil,"Aruja - SP, Brazil",HPN-BS,,,,,,,PCO,Oil,LA,Americana,2010-07-31,RFZ0007006,.9,0,0,0,"NAPHTHENIC/PARAFFINIC MEDIUM PROCESS OIL, NON-STAINING",,,OIL,OIL,PROCESS FROM CRUDE OIL,N,Y, ,Create Negotiaiton leverage against current sole source,,,,,,LA,
8923,SOURCE CHANGE,SC_008923,RAW MATERIAL,DDC*H,,2009-08-06 20:38:33,651,Jonathan Jonathan,Willi Reinig,,Cancelled,PPO RAW MATERIAL - Completed,NOLO,4.0,Natural Rubber,TSR-Technically Specified,KIRANA WINDU,SFW,JAMBI,Others,Indonesia,"SFW, JAMBI, Indonesia",TSR 20,GOCPL,SINGAPORE,Singapore,Others,Singapore,"Singapore, Singapore",Natural Rubber,Natural Rubber,EMEA,Hanau,,N0040582,,,,,,,,,,,,,,"SC for Central Warehouse approval, price leverage",,,,,,EMEA,Hanau
8982,AGENT APPROVAL,AA_008982,RAW MATERIAL,GTC*L,,2009-08-07 16:04:12,940,Daniel Kowalski,Danny Maes,,Completed,PAPER WORK - Completed  na,CODE228,31.0,Carbon Black,N500 FEF,CABOT,RAVENNA,RAVENNA,Others,Italy,"RAVENNA, Italy",STERLING SO,Ascott Transport,Derby,Derby,Others,UK,"Derby, UK",,,,,,N0040601,,,,,,,,,,,,,,"Add agent for 1152,228,299,405,510,630,799,899,999",N,,,,,EMEA,
9241,NEW MATERIAL,NM_009241,RAW MATERIAL,GTC*A,2009-11-20,2009-08-21 13:01:22,96,Maureen DeSanzo,Maureen DeSanzo,Marty Cohen,Cancelled,LAB EVALUATION - COA received This material is covered under a confidentiality agreement,,,,,CHEMTURA (CROMPTON),UNSPECIFIED,,Others,Others,UNSPECIFIED,MLA-3067,,,,,,,,,NA,ICM*A,,RFZ0006738,0.886,0,0,0,Derived Diaryl Amine,,,,,,U,U, ,Evaluation of a new class of antio's.  Chemtura is only producing this material in the lab at this time. This material is covered by a confidentiality agreement.,,,,,,"AP, EMEA, LA, NA",
9341,NEW MATERIAL,NM_009341,RAW MATERIAL,GTC*A,,2009-08-26 09:18:30,372,Cesar Daza,Rebecca Dando,Cesar Daza,Cancelled,PLANT TRIAL - Authorization Sent,,,,,CHEM TREND,Howell,Howell,MI,USA,"Howell, MI, USA",Chem-Trend ML-8228,,,,,,,,,NA,Danville,,RFX0006742,0.99,0,0,0,"Water based, unfilled, inside tire paint",,,,,,U,U,L,Request from Bill Bousman at Danville,,,,,,NA,
9888,NEW MATERIAL,NM_009888,RAW MATERIAL,GTC*A,,2009-09-18 13:13:41,286,Christin Alwardt,Christin Alwardt,Christin Alwardt,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,PER,Akron,OH,USA,"PER, Akron, OH, USA",10805-262A,,,,,,,,,NA,ICM*A,,RFX0006801,0.95,100,0,0,"TEOS	0	
PES	0.25	
BaseM		52.3	
Final M	56.4	
Finished M	56.8	
Tg infl	-87.64
",,,POLY,POLY,,N,Y,S,"Li- PES w/ and w/out TEOS to help incorporate Silica in the BR phase to improve RR and TW in compounds.
",,,,,,NA,
9889,NEW MATERIAL,NM_009889,RAW MATERIAL,GTC*A,,2009-09-18 13:13:45,286,Christin Alwardt,Christin Alwardt,Christin Alwardt,Cancelled,HSE PRE APPROVAL,,,,,GOODYEAR TIRE AND RUBBER,PER,Akron,OH,USA,"PER, Akron, OH, USA",10805-262B,,,,,,,,,NA,ICM*A,,RFX0006802,0.95,100,0,0,"TEOS	0	
PES	0.5	
BaseM	  52.5	
Final M  58.7	
Finished M  58.7	
Tg infl	-87.87
",,,POLY,POLY,,N,Y,S,"Li- PES w/ and w/out TEOS to help incorporate Silica in the BR phase to improve RR and TW in compounds.
",,,,,,NA,
10023,NEW MATERIAL,NM_010023,RAW MATERIAL,GTC*A,2009-09-23,2009-09-23 13:20:11,77,Ronda J Hinterlong,Ronda J Hinterlong,Ronda J Hinterlong,Cancelled,HSE PRE APPROVAL,,,,,Stoko,Greensboro NC,Greensboro,NC,USA,"Greensboro, NC, USA",Stoko Gel Free,,,,,,,,,NA,ICM*A,,RFX0006794,0.85,0,0,0,Hand Sanitizer,,,,,,N,U, ,Hand Sanitizer Evaluation,,,,,,NA,
10221,NEW MATERIAL,NM_010221,RAW MATERIAL,GTC*A,2009-09-29,2009-09-29 14:56:06,77,Ronda J Hinterlong,Ronda J Hinterlong,Ronda J Hinterlong,Cancelled,HSE PRE APPROVAL,,,,,APV ENGINEERED COATINGS,Akron,Akron,OH,USA,"Akron, OH, USA",GM-1-275,,,,,,,,,NA,Lawton,,RFX0006822,1.03215,0,0,0,Reformulated orange water based tread striping ink,,,,,,Y,Y,L,Reformulated version of the orange \"TL\" ink from APV,,,,,,NA,
10301,NEW MATERIAL,NM_010301,RAW MATERIAL,DDC*H,2009-10-29,2009-10-01 02:14:15,651,Gabriele Meissner,Willi Reinig,Gabriele Meissner,Completed,PAPER WORK - Completed,GABIRAX,0.0,Curing Materials,Retarders,OMYA,Humber Plant-East Yorkshire,Humber Plant-East Yorkshire,Others,UK,"Humber Plant-East Yorkshire, UK",Multisperse S-CTP-80 D,,,,,,,,,EMEA,Wittlich,,RFX0006848,1.22,0,0,0,"80% GYcode LEIBAX on Styrene Butadiene binder
",,,CHEM,CHEM,RETARDER,N,Y, ,"To create a new Corporate code for already used material				
",,,,,,EMEA,
10441,NEW MATERIAL,NM_010441,RAW MATERIAL,GTC*A,2009-10-08,2009-10-08 09:04:03,77,Ronda J Hinterlong,Ronda J Hinterlong,Ronda J Hinterlong,Cancelled,HSE PRE APPROVAL,,,,,DEB SBS,"Stanley, NC",Stanley,NC,USA,"Stanley, NC, USA",EPI SAN Instant Hand Sanitizing Gel,,,,,,,,,NA,ICM*A,,RFX0006837,0.9,0,0,0,Hand Sanitizer,,,,,,N,U, ,Hand Sanitizer,,,,,,NA,
11522,NEW SOURCE,NS_011522,REINFORCEMENT,GTC*A,,2009-11-18 17:50:12,160,Kath Vigars,Michael E Putinski,,Completed,PAPER WORK - Completed  No CSIS numbers for yarns,S01N,0.0,YARN,"NYLON 6,6",HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,Others,Vietnam,"Dong Nai, Vietnam",119NC21QA,,,,,,,Fabric,Fabric,NA,Napanee,2011-07-31,RFY00032,,,,,,,,,,,,,,alternate source of 840/2 nylon 66,,"840d nylon6,6 yarn",YARN,"NYLON 6,6",,NA,
12962,NEW SOURCE,NS_012962,RAW MATERIAL,GTC*L,,2010-01-28 20:03:15,3600,Jonathan Jonathan,Eric Engeldinger,,Cancelled,PROGRAM INITIATION -  savings is based on 2uscts/kg savings compared to SMR10 and based on 5 containers per month. Freight is 1/4 compared to far east,NIMBO,4.0,Natural Rubber,TSR-Technically Specified,Mitzic Gabon,MITZIC,Mitzic,Others,Gabon,"MITZIC, Mitzic, Gabon",Mitzic,GOCPL,SINGAPORE,Singapore,Others,Singapore,"Singapore, Singapore",Natural Rubber,Natural Rubber,EMEA,Adapazari,,RFX0007747,.92,100,0,0,TSR 10 BLOCK NATURAL RUBBER,,,POLY,POLY,NATURAL,N,Y, ,"Supply Flexibility, Price leverage and cost savings",,,,,,"AP, EMEA, LA, NA",
548,NEW MATERIAL,NM_000548,RAW MATERIAL,GTC*A,,2008-05-02 15:58:12,580,Mike Bryant,Teresa Martter,Kuo-Chih Hua,Cancelled,RAW MATERIAL INFORMATION - In Progress lot C-13A-08,,,,,PPG INDUSTRIES,"Delfzijl, Netherlands",Delfzijl,Others,Netherlands,"Delfzijl, Netherlands",DXC-003,,,,,,,,,,,,N0040050,2.0,0,0,0,CTS silica from initial Delfzijl production run,,,FILL,FILL,SILICA,N,Y,S,CTS Silica (2nd lot),,,,,,NA,
550,NEW MATERIAL,NM_000550,RAW MATERIAL,GTC*A,,2008-05-02 16:54:44,580,Mike Bryant,Teresa Martter,Mike Bryant,Completed,PAPER WORK - Completed  supplier orientation package,CODE7171,0.0,Non Black Fillers,Silicas,RHODIA,"COLLONGES-AU-MONT-D'OR, FRANCE",COLLONGES-AU-MONT-D'OR,Others,France,"COLLONGES-AU-MONT-D'OR, France",Zeosil Premium 200 MP,,,,,,,,,,,,RFX0005660,2,0,0,0,HDS silica w/ BET 200 and CTAB 220,,,FILL,FILL,SILICA,N,Y, ,High Surface Area HDS Silica,,,,,,NA,
562,REVISIONS,RE_000562,RAW MATERIAL,GTC*A,,2008-05-05 08:59:12,29,Corey S Yon,Corey S Yon,Corey S Yon,Completed,PAPER WORK - Completed  DUPONT SHOULD BE TAKEN OUT OF THE SOS,DROFLIC,2.0,ChemOps,Polymerization,,,,,,,,,,,,,,,,,,,N0040052,,,,,,,,,,,,,,Update spec for Honeywell HF,,,,,,,
612,NEW SOURCE,NS_000612,REINFORCEMENT,GTC*A,2008-11-30,2008-05-06 16:29:54,34,Julie Graybill,Doug Till,,Cancelled,PROGRAM INITIATION - Completed Need Negative Prioirty Filled Out,540Q,0.0,YARN,POLYESTER - HMLS AA,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,Others,Vietnam,"Dong Nai, Vietnam",D793,,,,,,,Fabric,Fabric,NA,Buffalo / Tonawanda,,RF0040056,,,,,,,,,,,,,,Cost Savings,,,,,,NA,
649,NEW MATERIAL,NM_000649,RAW MATERIAL,GTC*A,2010-01-14,2008-05-08 11:06:37,77,Ronda J Hinterlong,Ronda J Hinterlong,Ronda J Hinterlong,Completed,PAPER WORK - Completed,WBINVI02,0.0,"Dyes, Colors, Pigments",Ink - External Striping,APV ENGINEERED COATINGS,Akron,Akron,OH,USA,"Akron, OH, USA",TL-7427,,,,,,,,,NA,Lawton,,RFX0005895,1.03,0,0,0,Violet waterbased low viscosity external striping ink,,,CEMT,CEMT,NONCURE MARKING,Y,Y,L,Water based violet low viscosity striping ink,,,,,,"AP, EMEA, LA, NA",
821,NEW SOURCE,NS_000821,RAW MATERIAL,GTC*A,,2008-05-18 16:36:47,372,Mike Bryant,Rebecca Dando,,Cancelled,PROGRAM INITIATION - Completed ,CODE630,20.0,Carbon Black,N300 HAF,CONTINENTAL CARBON,Ponca City,Ponca City,OK,USA,"Ponca City, OK, USA",Continex N326,,,,,,,Filler,Carbon Black,NA,Buffalo / Tonawanda,,RFX0005313,1.82,0,0,0,ASTM N326 Carbon Black,,,FILL,FILL,CARBON BLACK,Y,Y,S,Additional Source,,,,,,"AP, EMEA, LA, NA",
822,NEW SOURCE,NS_000822,RAW MATERIAL,GTC*A,,2008-05-18 17:01:16,37,Mike Bryant,Mike Bryant,Mike Bryant,Cancelled,HSE PRE APPROVAL,CODE630,20.0,Carbon Black,N300 HAF,CONTINENTAL CARBON,"Phenix City, AL, USA",Phenix City,AL,USA,"Phenix City, AL, USA",Continex N326,,,,,,,Filler,Carbon Black,NA,Gadsden,,RFX0005310,1.82,0,0,0,ASTM N326,,,FILL,FILL,CARBON BLACK,Y,Y,S,Additional Source,,,,,,"AP, EMEA, LA, NA",
823,NEW SOURCE,NS_000823,RAW MATERIAL,GTC*A,,2008-05-18 17:41:47,37,Mike Bryant,Mike Bryant,Mike Bryant,Completed,PAPER WORK - Completed,CODE805,15.0,Carbon Black,N100 SAF,CONTINENTAL CARBON,Ponca City,Ponca City,OK,USA,"Ponca City, OK, USA",Continex N120,,,,,,,Filler,Carbon Black,NA,Topeka,2008-05-31,RFX0005315,1.766,0,0,0,ASTM N120 Carbon Black,,,FILL,FILL,CARBON BLACK,N,Y,S,Additional Source,,,,,,"AP, EMEA, LA, NA",
901,NEW MATERIAL,NM_000901,RAW MATERIAL,GTC*A,,2008-05-20 15:36:55,580,Mike Bryant,Teresa Martter,Paul Sandstrom,Cancelled,HSE PRE APPROVAL,,,,,The Andersons,Maumee,Maumee,OH,USA,"Maumee, OH, USA",60 White w/FGC,,,,,,,,,,,,RFX0005914,1.0,0,0,0,ground corn cob dyed white,,,,,,N,Y,S,Color in Ice compound,,,,,,"AP, EMEA, LA, NA",
905,NEW MATERIAL,NM_000905,RAW MATERIAL,GTC*A,,2008-05-20 15:45:54,580,Mike Bryant,Teresa Martter,Paul Sandstrom,Cancelled,"LAB EVALUATION - Chemical Lab Results received No further work will be done on this material at this time.  If product need arises, program will be reinstated.",,,,,The Andersons,Maumee,Maumee,OH,USA,"Maumee, OH, USA",1420 Violet w/o FGC,,,,,,,,,,,,RFX0005918,1.0,0,0,0,Ground Corn Cob dyed Green,,,,,,N,Y,S,Ground corn Cob for Ice Compound,,,,,,"AP, EMEA, LA, NA",
943,REVISIONS,RE_000943,REINFORCEMENT,GTC*L,2008-05-22,2008-05-21 10:47:35,156,Karen Manbeck,Julia Tahon,Karen Manbeck,Completed,PAPER WORK - Completed,U02T,0.0,YARN,POLYESTER - HMLS,INDORAMA VENTURES MOBILITY (Performance Fibers),"Kaiping, China",Kaiping,Others,China,"Kaiping, China",1X50,,,,,,,Fabric,Fabric,AP,Dalian,,RFU02T,,,,,,,,,,,,,,To restrict supply to SM1 & SM2 production lines,,1100 DECITEX HMLS POLYESTER,YARN,POLYESTER - HMLS,,AP,
946,NEW SOURCE,NS_000946,RAW MATERIAL,GTC*L,,2008-05-21 12:57:40,1220,Bozena Klepacz,Manuela Pompei,Lothar C Braun,Cancelled,PROGRAM INITIATION - Completed to add this new supplier,HAWKAX,13.0,Curing Materials,Accelerators,Zibo Huamei Chemical,Zibo Huamei - Old,Zibo - Shandong Province,Others,China,"Zibo Huamei - Old, Zibo - Shandong Province, China",CBS,,,,,,,PCO,Accelerator,AP,Dalian,,RFX0005936,1.27,0,0,0,CBS,,,CHEM,CHEM,ACCELERATOR,N,Y, ,emergency due to China Olympic games,,,,,,"AP, EMEA, LA, NA",
961,NEW SOURCE,NS_000961,RAW MATERIAL,GTC*L,,2008-05-22 09:35:16,136,Gary Platz,Andreas Frantzen,Gary Platz,Cancelled,RAW MATERIAL INFORMATION - In Progress,LOWINE,2.0,"Lubricants, Release","Dust Stop, Lube Ring",TOTAL FLUIDES,Dunkerque,Dunkerque,Others,France,"Dunkerque, France",Plaxolene MS,,,,,,,PCO,Oil,EMEA,Philippsburg,,N0040074,.91,0,0,0,MES type of oil,,,OIL,OIL,PROCESS FROM CRUDE OIL,Y,Y,L,New Source,,,,,,"AP, EMEA, LA, NA",
1004,NEW MATERIAL,NM_001004,RAW MATERIAL,GTC*A,,2008-05-23 14:07:54,580,Tom H Hoopes,Teresa Martter,Tom H Hoopes,Cancelled,LAB EVALUATION - Physical Lab Results Received,,,,,ARIZONA CHEMICAL,"Almere, Netherlands",Almere,Others,Netherlands,"Almere, Netherlands",AA371-11,,,,,,,,,,,,RFZ0005019,1.10,0,0,0,Rosin Terminated Phenol 2.0/2.0 Level,,,,,,Y,Y,S,New generation tackifying resin,,,,,,NA,
1021,REVISIONS,RE_001021,RAW MATERIAL,GTC*L,,2008-05-27 04:10:05,116,Claude Schweitzer,Claude Schweitzer,Claude Schweitzer,Cancelled,,CODE3971,0.0,Non Black Fillers,Silicas,,,,,,,,,,,,,,,,,,,N0040077,,,,,,,,,,,,,,"originally planned cross-check is completed
CTAB is replaced by Hg porosimetry
GY method is used for pour density",,,,,,,
1063,NEW MATERIAL,NM_001063,RAW MATERIAL,GTC*A,,2008-05-29 14:43:20,372,Bret Marts,Rebecca Dando,Bret Marts,Completed,PAPER WORK - Completed,GIANITE,0.0,"Lubricants, Release",Pellet Dips,MC PRODUCTS,"Steeleville, IL, USA",Steeleville,IL,USA,"Steeleville, IL, USA",MC 212-60,,,,,,,,,NA,Union City,,RFX0005955,1.57,0,0,0,Combination of Inorganic and organic surfactants at 60% concentration,,,CHEM,CHEM,LUBRICANT,Y,Y,L,New concentration of code Susite,,,,,,NA,
1121,NEW SOURCE,NS_001121,RAW MATERIAL,GTC*L,,2008-06-02 06:53:40,1220,Bozena Klepacz,Manuela Pompei,Lothar C Braun,Cancelled,LAB EVALUATION - Skipped As per MDR 08-56,CITAX-O,6.0,Curing Materials,Accelerators,GENERAL QUIMICA,COMUNION-ALAVA,COMUNION-ALAVA,Others,Spain,"COMUNION-ALAVA, Spain",Rubenamid DS granules,,,,,,,PCO,Accelerator,EMEA,Wittlich,,RFX0005964,1.2,0,0,0,DCBS,,,CHEM,CHEM,ACCELERATOR,N,Y, ,Emergency approval due to Chinise Olympic Games,,,,,,"AP, EMEA, LA, NA",
1181,REVISIONS,RE_001181,RAW MATERIAL,GTC*L,,2008-06-03 08:45:31,116,Claude Schweitzer,Claude Schweitzer,Claude Schweitzer,Cancelled,,WAXINE,4.0,Weathering Protectors,Waxes,,,,,,,,,,,,,,,,,,,N0040082,,,,,,,,,,,,,,change of melting point range,,,,,,,
1202,NEW SOURCE,NS_001202,REINFORCEMENT,GTC*L,2008-11-30,2008-06-03 14:14:48,2800,Julie Graybill,Julie Vanderhaeghen,Michael E Putinski,Completed,PAPER WORK - Completed  project finalized by Julia Tahon,S01QC28PF,0.0,FABRIC,POLYESTER - HMLS AA,HYOSUNG CORPORATION,"Dong Nai, Vietnam",Dong Nai,Others,Vietnam,"Dong Nai, Vietnam",S01QC28PF,,,,,,,Fabric,Fabric,EMEA,Fulda,2009-05-31,RFGTC3560PF,,,,,,,,,,,,,,Cost Savings,,Polyester AA 1100/2dtex greige fabric from Vietnam dipped at Lux,FABRIC,POLYESTER - HMLS AA,,EMEA,
1243,NEW SOURCE,NS_001243,REINFORCEMENT,GTC*A,,2008-06-04 15:59:18,2340,Amin Abdul-Rahaman,Jim Kish,,Completed,LAB EVALUATION - Lab Evaluation Completed Severe bird caging on cable breakload testing,EE,0.0,WIRE,STEEL CORD,PIRELLI,"Sumare, SP, Brazil",Sumare,Others,Brazil,"SP, Sumare, Brazil",P401EE,,,,,,,Steel,Wire,LA,Americana,2011-10-31,RFS00005,,,,,,,,,,,,,,Second Source,,5/8/14x.265+1 ST,WIRE,STEEL CORD,,"AP, EMEA, LA, NA",
1264,AGENT APPROVAL,AA_001264,RAW MATERIAL,GTC*A,,2008-06-05 11:30:50,29,Corey S Yon,Corey S Yon,,Completed,PAPER WORK - Completed,PHENAX-O,5.0,Curing Materials,Accelerators,JSC KHIMPROM,NOVOCHEBOKSARSK,NOVOCHEBOKSARSK,Others,Russia,"NOVOCHEBOKSARSK, Russia",DPG TECH PWDR BRAND A,Wal-Mar,Brzeg Dolny,Brzeg Dolny,Others,Poland,"Brzeg Dolny, Poland",,,,,,RFX0006029,1.2,0,0,0,"oil treated, symmetrical diphenylguanidine",,,CHEM,CHEM,ACCELERATOR,N,Y, ,New Agent,Y,,,,,"AP, EMEA, LA, NA",
1381,NEW MATERIAL,NM_001381,RAW MATERIAL,GTC*L,2009-01-12,2008-06-10 13:29:10,116,Gary Platz,Claude Schweitzer,Claude Schweitzer,Cancelled,RAW MATERIAL INFORMATION - Completed,,,,,GOODYEAR TIRE AND RUBBER,"Akron, OH, USA",Akron,OH,USA,"Akron, OH, USA",SP17977-158,,,,,,,,,,,,RFX0006346,0.91,0,0,0,test,,,,,,Y,Y, ,test,,,,,,EMEA,
1463,NEW MATERIAL,NM_001463,RAW MATERIAL,GTC*A,,2008-06-12 14:04:22,31,Tom H Hoopes,Tom H Hoopes,Tom H Hoopes,Cancelled,LAB EVALUATION - Sample Ordered,,,,,MEADWESTVACO,"Charleston, SC, USA",Charleston,SC,USA,"Charleston, SC, USA",X081045,,,,,,,,,,,,RFX0005993,0.80,0,0,0,MWV Developmental Activated Carbon GY-A,,,,,,Y,Y,S,New activated carbon for MIBK adsorption,,,,,,NA,
1468,NEW MATERIAL,NM_001468,RAW MATERIAL,GTC*A,,2008-06-12 14:36:28,31,Tom H Hoopes,Tom H Hoopes,Tom H Hoopes,Cancelled,HSE PRE APPROVAL,,,,,MEADWESTVACO,"Charleston, SC, USA",Charleston,SC,USA,"Charleston, SC, USA",X081043,,,,,,,,,,,,RFX0005996,0.80,0,0,0,MWV Developmental Activated Carbon GY-D,,,,,,Y,Y,S,New activated carbon for MIBK adsorption,,,,,,NA,
1469,NEW MATERIAL,NM_001469,RAW MATERIAL,GTC*A,,2008-06-12 14:40:34,580,Kelley Gallagher,Teresa Martter,Kelley Gallagher,Cancelled,RAW MATERIAL INFORMATION - Completed,,,,,DOW CHEMICAL,"SCHKOPAU, GERMANY",SCHKOPAU,Others,Germany,"SCHKOPAU, Germany",P6204M (XZ87081.01),,,,,,,,,NA,ICM*A,,RFX0005548,0.97,100,0,0,"SSBR, High Sty, Low vinyl, funct, Sn coupled",,,POLY,POLY,SBR,N,Y,S,Development of functionalized SSBR,,,,,,"AP, EMEA, LA, NA",
1470,REVISIONS,RE_001470,RAW MATERIAL,GTC*A,,2008-06-12 14:54:38,2960,Kelley Gallagher,Alesia Salberg,Kelley Gallagher,Cancelled,,MONTANIC,2.0,Polymers,"Halobutyl, Butyl",,,,,,,,,,,,,,,,,,,N0040089,,,,,,,,,,,,,,"Decrease MH target, from 14.1 to 13.4, on B2b in section 3 - Lanxess request",,,,,,,
1507,NEW MATERIAL,NM_001507,RAW MATERIAL,GTC*A,,2008-06-13 10:28:17,580,Kelley Gallagher,Teresa Martter,Ling Du,Cancelled,LAB EVALUATION - Physical Lab Results Received X0005620 is not specifically reported on in the report but summarizes work on Nd PBd.,,,,,LANXESS,DORMAGEN,DORMAGEN,Others,Germany,"DORMAGEN, Germany",BUNA CB22,,,,,,,,,NA,ICM*A,,RFX0005620,0.91,100,0,0,"Solution high-cis polybutadiene polymer produced with neodymium catalyst, ML 63",,,POLY,POLY,,N,Y,S,Development of Lanxess Nd-PBd grades,,,,,,"AP, EMEA, LA, NA",
